"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044771","meiotic cell cycle phase transition","2/19","15/18842",0.133333333333333,132.224561403509,16.1530505529255,0.0001003662900054,0.00711028656905728,0.00711028656905728,"ZWINT/CDC20",2
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","3/19","97/18842",0.0309278350515464,30.6706456863809,9.30795974407588,0.000120716588753279,0.00845016121272956,0.00845016121272956,"CCNB1/CDK1/CENPF",3
"GO:0044843","cell cycle G1/S phase transition","4/19","265/18842",0.0150943396226415,14.9688182720953,7.27577345429016,0.000125525210527399,0.00868339103413069,0.00868339103413069,"CCNB1/CDKN3/CDK1/RRM2",4
"GO:0051438","regulation of ubiquitin-protein transferase activity","2/19","19/18842",0.105263157894737,104.387811634349,14.3247178451186,0.000163060922791571,0.0111488165815632,0.0111488165815632,"UBE2C/CDC20",2
"GO:1902749","regulation of cell cycle G2/M phase transition","3/19","110/18842",0.0272727272727273,27.0459330143541,8.7041935870542,0.000175245199607905,0.0118441583183274,0.0118441583183274,"CCNB1/CDK1/CENPF",3
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","2/19","23/18842",0.0869565217391304,86.233409610984,12.9945086632048,0.000240674273532215,0.0160814173678343,0.0160814173678343,"CCNB1/CDK1",2
"GO:0061982","meiosis I cell cycle process","3/19","125/18842",0.024,23.8004210526316,8.1257621820066,0.000255557994089167,0.0168840562387001,0.0168840562387001,"ZWINT/TOP2A/CDC20",3
"GO:0061952","midbody abscission","2/19","24/18842",0.0833333333333333,82.640350877193,12.7147581994643,0.000262395930118375,0.0171432007677338,0.0171432007677338,"CEP55/KIF20A",2
"GO:0051225","spindle assembly","3/19","127/18842",0.0236220472440945,23.4256112722752,8.05629923194701,0.000267783332820266,0.0173029230437711,0.0173029230437711,"PRC1/NEK2/KIF4A",3
"GO:0031145","anaphase-promoting complex-dependent catabolic process","2/19","25/18842",0.08,79.3347368421053,12.4518406663649,0.000285041530240907,0.0180219806216832,0.0180219806216832,"UBE2C/CDC20",2
"GO:0060045","positive regulation of cardiac muscle cell proliferation","2/19","25/18842",0.08,79.3347368421053,12.4518406663649,0.000285041530240907,0.0180219806216832,0.0180219806216832,"CCNB1/CDK1",2
"GO:1902751","positive regulation of cell cycle G2/M phase transition","2/19","26/18842",0.0769230769230769,76.2834008097166,12.2041238236138,0.000308609385676574,0.019304501997641,0.019304501997641,"CCNB1/CDK1",2
"GO:0010639","negative regulation of organelle organization","4/19","348/18842",0.0114942528735632,11.3986690865094,6.22065774463206,0.000355911759680017,0.0219584386244195,0.0219584386244195,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0051984","positive regulation of chromosome segregation","2/19","28/18842",0.0714285714285714,70.8345864661654,11.7487960738166,0.000358505120398685,0.0219584386244195,0.0219584386244195,"CCNB1/CDK1",2
"GO:0055023","positive regulation of cardiac muscle tissue growth","2/19","30/18842",0.0666666666666667,66.1122807017544,11.3394085849215,0.000412069671683929,0.0249790687577474,0.0249790687577474,"CCNB1/CDK1",2
"GO:2000241","regulation of reproductive process","3/19","148/18842",0.0202702702702703,20.101706970128,7.4120146859356,0.000419585620282737,0.0251751372169642,0.0251751372169642,"ZWINT/ASPM/CDC20",3
"GO:0051382","kinetochore assembly","2/19","33/18842",0.0606060606060606,60.1020733652313,10.7959580297777,0.000499266165041034,0.0293568505044128,0.0293568505044128,"DLGAP5/CENPF",2
"GO:0090231","regulation of spindle checkpoint","2/19","33/18842",0.0606060606060606,60.1020733652313,10.7959580297777,0.000499266165041034,0.0293568505044128,0.0293568505044128,"ZWINT/CCNB1",2
"GO:0051383","kinetochore organization","2/19","34/18842",0.0588235294117647,58.3343653250774,10.6308383387073,0.000530151545821602,0.0305616773473629,0.0305616773473629,"DLGAP5/CENPF",2
"GO:0060421","positive regulation of heart growth","2/19","34/18842",0.0588235294117647,58.3343653250774,10.6308383387073,0.000530151545821602,0.0305616773473629,0.0305616773473629,"CCNB1/CDK1",2
"GO:0046622","positive regulation of organ growth","2/19","36/18842",0.0555555555555556,55.093567251462,10.3212669539467,0.000594642115533292,0.0339465596052015,0.0339465596052015,"CCNB1/CDK1",2
"GO:0060043","regulation of cardiac muscle cell proliferation","2/19","37/18842",0.0540540540540541,53.6045519203414,10.1758775655592,0.000628243973176239,0.0355199477141951,0.0355199477141951,"CCNB1/CDK1",2
"GO:0031396","regulation of protein ubiquitination","3/19","172/18842",0.0174418604651163,17.296817625459,6.82148964311293,0.000650461758347723,0.0364258584674725,0.0364258584674725,"UBE2C/CDK1/CDC20",3
"GO:1902410","mitotic cytokinetic process","2/19","39/18842",0.0512820512820513,50.8556005398111,9.9018658124217,0.000698152521840282,0.0387277059284986,0.0387277059284986,"CEP55/KIF20A",2
"GO:0060038","cardiac muscle cell proliferation","2/19","44/18842",0.0454545454545455,45.0765550239234,9.29956240108058,0.000888624756393213,0.0487255365740738,0.0487255365740738,"CCNB1/CDK1",2
"GO:1903046","meiotic cell cycle process","3/19","192/18842",0.015625,15.4950657894737,6.41380484355331,0.000894958835034009,0.0487255365740738,0.0487255365740738,"ZWINT/TOP2A/CDC20",3
